,pub_price,f1_price,f1_year_date,key_py_fy,ticker,publish_date,shares_(basic),shares_(diluted),"cash,_cash_equivalents_&_short_term_investments",accounts_&_notes_receivable,inventories,total_current_assets,"property,_plant_&_equipment,_net",other_long_term_assets,total_noncurrent_assets,total_assets,payables_&_accruals,short_term_debt,total_current_liabilities,long_term_debt,total_noncurrent_liabilities,total_liabilities,share_capital_&_additional_paid-in_capital,retained_earnings,total_equity,total_liabilities_&_equity,publish_year,revenue,cost_of_revenue,gross_profit,operating_expenses,"selling,_general_&_administrative",operating_income_(loss),non-operating_income_(loss),"interest_expense,_net","pretax_income_(loss),_adj.",abnormal_gains_(losses),pretax_income_(loss),"income_tax_(expense)_benefit,_net",income_(loss)_from_continuing_operations,net_income,net_income_(common),net_income/starting_line,non-cash_items,change_in_working_capital,net_cash_from_operating_activities,change_in_fixed_assets_&_intangibles,net_cash_from_acquisitions_&_divestitures,net_cash_from_investing_activities,dividends_paid,cash_from_(repayment_of)_debt,cash_from_(repurchase_of)_equity,net_cash_from_financing_activities,net_change_in_cash
12463,10.03,13.41,2017-03-14,BLCM_2016_2015,BLCM,2016-03-14,26481954.0,26481954.0,94061000.0,440000.0,0.0,96890000.0,6882000.0,330000.0,63516000.0,160406000,7186000.0,13000.0,7445000,118000.0,944000.0,8389000,318867000.0,-161492000.0,152017000.0,160406000,2016,282000.0,0.0,282000.0,0.0,0.0,282000.0,-48788000.0,629000.0,-48506000,-42000.0,-48548000,0.0,-48548000,-48548000,-48548000,-48548000.0,8963000.0,2660000.0,-35726000,-5421000.0,0.0,-86453000.0,0.0,336000.0,482000.0,818000.0,-121361000
206,10.04,11.82,2017-06-06,TESS_2016_2015,TESS,2016-06-06,8197000.0,8059000.0,16882800.0,58315700.0,53903900.0,135019500.0,19895400.0,14501100.0,34396500.0,169416000,52244800.0,251100.0,52495900,1706500.0,4392800.0,56888700,58211400.0,111561100.0,112527300.0,169416000,2016,530682100.0,-418716200.0,111965900.0,-102932300.0,-102932300.0,9033600.0,-161300.0,-161300.0,8872300,0.0,8872300,-3531800.0,5340500,5340500,5340500,5340500.0,681300.0,9389300.0,20141100,-3513800.0,0.0,-3513800.0,-6615700.0,-250600.0,-783600.0,-7268500.0,9358800
3177,10.05,19.7,2017-02-28,EVH_2016_2015,EVH,2016-02-29,42084000.0,103445000.0,155171000.0,20381000.0,0.0,184463000.0,12796000.0,773637000.0,831051000.0,1015514000,44671000.0,0.0,59506000,0.0,21429000.0,80935000,342653000.0,306688000.0,934579000.0,1015514000,2016,96878000.0,-57398000.0,39480000.0,-82452000.0,-75286000.0,-42972000.0,-27872000.0,293000.0,-70844000,414133000.0,343289000,-23475000.0,319814000,332494000,332494000,319814000.0,-347606000.0,2158000.0,-18468000,-6515000.0,0.0,-43684000.0,0.0,209087000.0,152000.0,207878000.0,145726000
8367,10.06,12.23,2012-02-28,ACGL_2011_2010,ACGL,2011-02-28,429322563.0,451131633.0,10546634000.0,56145000.0,0.0,10747276000.0,0.0,4050883000.0,5531952000.0,16279228000,200192000.0,0.0,8877382000,1518768000.0,2888843000.0,11766225000,110859000.0,4422553000.0,4513003000.0,16279228000,2011,3244067000.0,0.0,3244067000.0,-2391767000.0,-1958917000.0,852300000.0,-1899000.0,-30007000.0,850401000,0.0,850401000,-7729000.0,842672000,842672000,816828000,786637000.0,17732000.0,-2295000.0,802074000,367436000.0,0.0,16097000.0,-25844000.0,135118000.0,-761874000.0,-785637000.0,28169000
11023,10.08,13.52,2012-08-09,ULH_2011_2010,ULH,2011-08-10,73894000.0,73894000.0,21302000.0,68833000.0,0.0,98524000.0,78206000.0,35318000.0,113524000.0,212048000,42294000.0,0.0,42294000,0.0,5543000.0,47837000,96036000.0,72559000.0,164211000.0,212048000,2011,851868000.0,0.0,851868000.0,-799416000.0,-152965000.0,52452000.0,4543000.0,-1394000.0,56995000,0.0,56995000,-11286000.0,45709000,45709000,45709000,45709000.0,-4282000.0,-7581000.0,51385000,-12284000.0,-441000.0,-4307000.0,0.0,-3336000.0,-4567000.0,-39451000.0,7617000
1162,10.08,18.62,2014-04-25,CAMP_2013_2012,CAMP,2013-04-25,57830075.0,60110737.0,63101000.0,19111000.0,13516000.0,106769000.0,2778000.0,41224000.0,44002000.0,150771000,17169000.0,2261000.0,28949000,2434000.0,4273000.0,33222000,202718000.0,-85104000.0,117549000.0,150771000,2013,180579000.0,-123686000.0,56893000.0,-40913000.0,-24879000.0,15980000.0,-532000.0,-487000.0,15448000,0.0,15448000,29178000.0,44626000,44626000,44626000,44626000.0,-25910000.0,-4883000.0,16597000,-1852000.0,-1000000.0,-2398000.0,0.0,43049000.0,2812000.0,43301000.0,57500000
8253,10.12,15.54,2018-02-27,ELY_2017_2016,ELY,2017-02-27,94118000.0,97982000.0,125975000.0,127863000.0,189400000.0,460425000.0,54475000.0,237385000.0,340857000.0,801282000,174888000.0,0.0,186854000,0.0,5828000.0,192682000,331148000.0,287129000.0,608600000.0,801282000,2017,871192000.0,-486181000.0,385011000.0,-340843000.0,-307525000.0,44168000.0,-3437000.0,-1747000.0,40731000,17662000.0,58393000,132561000.0,190954000,189900000,189900000,190954000.0,-150943000.0,21113000.0,77710000,-16132000.0,0.0,8953000.0,-3764000.0,-3003000.0,-2507000.0,-9254000.0,76174000
14201,10.12,10.2,2013-02-08,CGNX_2012_2011,CGNX,2012-02-09,168520000.0,171904000.0,182534000.0,48206000.0,28098000.0,285346000.0,31744000.0,119885000.0,326535000.0,611881000,40647000.0,0.0,54105000,0.0,4796000.0,58901000,135752000.0,434581000.0,552980000.0,611881000,2012,321914000.0,-77919000.0,243995000.0,-158640000.0,-117694000.0,85355000.0,1762000.0,0.0,87117000,0.0,87117000,-17248000.0,69869000,69869000,69869000,69869000.0,10587000.0,-3937000.0,86275000,-7820000.0,0.0,-90209000.0,-15114000.0,0.0,20863000.0,9794000.0,4900000
11002,10.12,23.34,2014-02-26,LYV_2013_2012,LYV,2013-02-26,187253910.0,182221311.0,1001055000.0,415790000.0,0.0,1812812000.0,721786000.0,2756208000.0,3477994000.0,5290806000,1287394000.0,62050000.0,1768172000,1677955000.0,1971960000.0,3740132000,2274759000.0,-908418000.0,1550674000.0,5290806000,2013,5819047000.0,-4151277000.0,1667770000.0,-1686553000.0,-1143632000.0,-18783000.0,-110982000.0,-119570000.0,-129765000,-2396000.0,-132161000,-29736000.0,-161897000,-163227000,-163227000,-161897000.0,42342000.0,57096000.0,367098000,-138373000.0,-71136000.0,-203791000.0,0.0,13064000.0,1143000.0,-19891000.0,156802000
2708,10.12,14.57,2012-08-07,CCOI_2011_2010,CCOI,2011-08-08,44959828.0,45587328.0,56283000.0,23702000.0,0.0,88639000.0,280455000.0,7009000.0,287464000.0,376103000,35517000.0,6143000.0,41660000,176782000.0,182642000.0,224302000,482783000.0,-332026000.0,151801000.0,376103000,2011,263416000.0,-119023000.0,144393000.0,-128584000.0,-72060000.0,15809000.0,-15723000.0,-15723000.0,86000,-594000.0,-508000,1177000.0,669000,669000,669000,669000.0,10537000.0,3747000.0,71477000,-52227000.0,0.0,-52227000.0,0.0,-19148000.0,274000.0,-18874000.0,354000
