Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Shares (Basic)";"Shares (Diluted)";"Net Income/Starting Line";"Depreciation & Amortization";"Non-Cash Items";"Change in Working Capital";"Change in Accounts Receivable";"Change in Inventories";"Change in Accounts Payable";"Change in Other";"Net Cash from Operating Activities";"Change in Fixed Assets & Intangibles";"Net Change in Long Term Investment";"Net Cash from Acquisitions & Divestitures";"Net Cash from Investing Activities";"Dividends Paid";"Cash from (Repayment of) Debt";"Cash from (Repurchase of) Equity";"Net Cash from Financing Activities";"Net Change in Cash"
GOOG;18;USD;2016;FY;2016-12-31;2017-02-03;687778000;747565000;19478000000;5267000000;7991000000;3300000000;-2578000000;;110000000;5768000000;36036000000;-9972000000;-18723000000;-986000000;-31165000000;;-1335000000;-3693000000;-8332000000;-3631000000
GOOG;18;USD;2015;FY;2015-12-31;2016-02-11;684626000;744675000;16348000000;4132000000;6501000000;-409000000;-2094000000;;203000000;1482000000;26572000000;-9915000000;-13789000000;-236000000;-23711000000;;-23000000;-1780000000;-4225000000;-1798000000
GOOG;18;USD;2014;FY;2014-12-31;2015-10-29;675935000;741998000;14136000000;3523000000;4693000000;672000000;-1641000000;;436000000;1877000000;23024000000;-10959000000;-6435000000;-4502000000;-21055000000;;-18000000;0;-2087000000;-551000000
GOOG;18;USD;2017;FY;2017-12-31;2018-02-06;692901000;750730000;12662000000;6103000000;9080000000;9246000000;-3768000000;;731000000;12283000000;37091000000;-13085000000;-19981000000;-287000000;-32820000000;;-86000000;-4846000000;-6879000000;-2203000000
GOOG;18;USD;2018;FY;2018-12-31;2019-02-05;695140000;750149000;30736000000;8164000000;4163000000;4908000000;-2169000000;;1067000000;6010000000;47971000000;-25041000000;-3724000000;-1491000000;-28504000000;;-61000000;-9075000000;-13179000000;5986000000
FOX;242;USD;2016;FY;2016-06-30;2016-08-11;1943000000;1945000000;3024000000;530000000;1360000000;-1866000000;-1060000000;-806000000;;;3048000000;-263000000;-459000000;-916000000;-1638000000;-821000000;673000000;-4892000000;-5330000000;-4004000000
FOX;242;USD;2015;FY;2015-06-30;2015-08-13;2127000000;2130000000;8604000000;736000000;-4414000000;-1309000000;-261000000;-825000000;-223000000;;3617000000;-424000000;-1325000000;-142000000;6736000000;-878000000;316000000;-5888000000;-7102000000;3013000000
FOX;242;USD;2014;FY;2014-06-30;2014-08-14;2265000000;2269000000;3917000000;1142000000;-263000000;-1832000000;-846000000;-905000000;-81000000;;2964000000;-678000000;-83000000;-692000000;-935000000;-802000000;859000000;-3706000000;-3776000000;-1244000000
FOX;242;USD;2013;FY;2013-06-30;2013-08-19;2337000000;2341000000;7046000000;797000000;-3282000000;-1559000000;-127000000;-1154000000;-278000000;;3002000000;-622000000;-654000000;-606000000;86000000;-613000000;523000000;-1823000000;-4571000000;-2967000000
FOX;242;USD;2012;FY;2012-06-30;2012-08-14;2499000000;2504000000;3369000000;711000000;-91000000;-1155000000;-734000000;-393000000;-28000000;;2834000000;-564000000;-156000000;-450000000;-766000000;-580000000;-35000000;-4422000000;-5102000000;-3054000000
FOX;242;USD;2011;FY;2011-06-30;2011-08-15;2625000000;2633000000;2425000000;777000000;190000000;-354000000;248000000;-614000000;12000000;;3038000000;-622000000;-642000000;-434000000;-1369000000;-490000000;1914000000;12000000;1383000000;3971000000
FOX;242;USD;2010;FY;2010-06-30;2010-09-03;2619000000;2628000000;2644000000;1185000000;65000000;-40000000;-282000000;-110000000;352000000;;3854000000;-914000000;-513000000;-143000000;-313000000;-418000000;-1053000000;24000000;-1445000000;2169000000
FOX;242;USD;2009;FY;2009-06-30;2009-11-05;2613000000;2613000000;-3310000000;1138000000;6628000000;-2208000000;194000000;-485000000;-1917000000;;2248000000;-1101000000;-479000000;-809000000;-627000000;-366000000;697000000;4000000;315000000;1878000000
FOX;242;USD;2017;FY;2017-06-30;2017-08-14;1854000000;1856000000;3270000000;553000000;1149000000;-1187000000;-401000000;-991000000;152000000;53000000;3785000000;-377000000;-300000000;-75000000;-752000000;-943000000;345000000;-619000000;-1281000000;1739000000
FOX;242;USD;2018;FY;2018-06-30;2018-08-13;1852000000;1857000000;4774000000;584000000;365000000;-1496000000;-801000000;-422000000;401000000;-674000000;4227000000;-551000000;-984000000;-7000000;-1177000000;-993000000;-403000000;0;-1464000000;1459000000
ATVI;243;USD;2016;FY;2016-12-31;2017-02-28;740000000;754000000;966000000;829000000;618000000;-258000000;84000000;32000000;-50000000;-324000000;2155000000;-136000000;0;-4588000000;-1177000000;-195000000;774000000;106000000;500000000;1422000000
ATVI;243;USD;2015;FY;2015-12-31;2016-02-29;728000000;739000000;892000000;95000000;514000000;-242000000;-40000000;-54000000;-25000000;-123000000;1259000000;-111000000;0;-46000000;-3716000000;-170000000;-250000000;106000000;-202000000;-3025000000
ATVI;243;USD;2014;FY;2014-12-31;2015-02-26;716000000;726000000;835000000;90000000;363000000;43000000;-177000000;-2000000;-12000000;234000000;1331000000;-107000000;21000000;0;-84000000;-147000000;-375000000;175000000;-413000000;438000000
