Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Shares (Basic)";"Shares (Diluted)";Revenue;"Cost of Revenue";"Gross Profit";"Operating Expenses";"Selling, General & Administrative";"Research & Development";"Depreciation & Amortization";"Operating Income (Loss)";"Non-Operating Income (Loss)";"Interest Expense, Net";"Pretax Income (Loss), Adj.";"Abnormal Gains (Losses)";"Pretax Income (Loss)";"Income Tax (Expense) Benefit, Net";"Income (Loss) from Continuing Operations";"Net Extraordinary Gains (Losses)";"Net Income";"Net Income (Common)"
GOOG;18;USD;2016;FY;2016-12-31;2017-02-03;687778000;747565000;90272000000;-35138000000;55134000000;-31418000000;-17470000000;-13948000000;;23716000000;434000000;;24150000000;;24150000000;-4672000000;19478000000;0;19478000000;19478000000
GOOG;18;USD;2015;FY;2015-12-31;2016-02-11;684626000;744675000;74989000000;-28164000000;46825000000;-27465000000;-15183000000;-12282000000;;19360000000;291000000;;19651000000;;19651000000;-3303000000;16348000000;0;16348000000;15826000000
GOOG;18;USD;2014;FY;2014-12-31;2015-10-29;675935000;741998000;66001000000;-25691000000;40310000000;-23814000000;-13982000000;-9832000000;;16496000000;763000000;;17259000000;;17259000000;-3639000000;13620000000;516000000;14136000000;14136000000
GOOG;18;USD;2017;FY;2017-12-31;2018-02-06;692901000;750730000;110855000000;-45583000000;65272000000;-36390000000;-19765000000;-16625000000;;28882000000;1047000000;;29929000000;-2736000000;27193000000;-14531000000;12662000000;;12662000000;12662000000
GOOG;18;USD;2018;FY;2018-12-31;2019-02-05;695140000;750149000;136819000000;-59549000000;77270000000;-45878000000;-24459000000;-21419000000;;31392000000;8592000000;;39984000000;-5071000000;34913000000;-4177000000;30736000000;;30736000000;30736000000
FOX;242;USD;2016;FY;2016-06-30;2016-08-11;1943000000;1945000000;27326000000;-17129000000;10197000000;-4205000000;-3675000000;;-530000000;5992000000;-1838000000;-1146000000;4154000000;;4154000000;-1130000000;3024000000;-8000000;2755000000;2755000000
FOX;242;USD;2015;FY;2015-06-30;2015-08-13;2127000000;2130000000;28987000000;-18561000000;10426000000;-4520000000;-3784000000;;-736000000;5906000000;3941000000;-1159000000;9847000000;;9847000000;-1243000000;8604000000;-67000000;8306000000;8306000000
FOX;242;USD;2014;FY;2014-06-30;2014-08-14;2265000000;2269000000;31867000000;-21108000000;10759000000;-5271000000;-4129000000;;-1142000000;5488000000;-299000000;-1095000000;5189000000;;5189000000;-1272000000;3917000000;729000000;4514000000;4514000000
FOX;242;USD;2013;FY;2013-06-30;2013-08-19;2337000000;2341000000;27675000000;-17496000000;10179000000;-4804000000;-4007000000;;-797000000;5375000000;3361000000;-1006000000;8736000000;;8736000000;-1690000000;7046000000;277000000;7097000000;7097000000
FOX;242;USD;2012;FY;2012-06-30;2012-08-14;2499000000;2504000000;25051000000;-15663000000;9388000000;-4430000000;-3719000000;;-711000000;4958000000;-294000000;-955000000;4664000000;-201000000;4463000000;-1094000000;3369000000;-1997000000;1179000000;1179000000
FOX;242;USD;2011;FY;2011-06-30;2011-08-15;2625000000;2633000000;24232000000;-15745000000;8487000000;-4536000000;-3759000000;;-777000000;3951000000;-565000000;-887000000;3386000000;-288000000;3098000000;-673000000;2425000000;443000000;2739000000;2739000000
FOX;242;USD;2010;FY;2010-06-30;2010-09-03;2619000000;2628000000;32778000000;-21015000000;11763000000;-7804000000;-6619000000;;-1185000000;3959000000;-383000000;-900000000;3576000000;-253000000;3323000000;-679000000;2644000000;0;2539000000;2539000000
FOX;242;USD;2009;FY;2009-06-30;2009-11-05;2613000000;2613000000;30423000000;-19563000000;10860000000;-7302000000;-6164000000;;-1138000000;3558000000;111000000;-836000000;3669000000;-9208000000;-5539000000;2229000000;-3310000000;;-3378000000;-3378000000
FOX;242;USD;2017;FY;2017-06-30;2017-08-14;1854000000;1856000000;28500000000;-17775000000;10725000000;-4170000000;-3617000000;;-553000000;6555000000;-1551000000;-1183000000;5004000000;-315000000;4689000000;-1419000000;3270000000;-44000000;2952000000;2952000000
